"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,-2.836266550E-2,2.396844972E-2,1.784317924E-2
1.000000000E-1,-7.203850721E-2,2.583266248E-2,1.757686313E-2
2.000000000E-1,-9.334379585E-2,2.356897556E-2,1.717738897E-2
3.000000000E-1,-8.681905121E-2,2.516687221E-2,1.491370205E-2
4.000000000E-1,-8.096009683E-2,2.170476280E-2,2.050634032E-2
5.000000000E-1,-4.940163803E-2,2.969424604E-2,1.957423394E-2
6.000000000E-1,-4.687163501E-2,2.410160777E-2,1.890844367E-2
7.000000000E-1,-2.862898161E-2,2.796319134E-2,2.263686918E-2
8.000000000E-1,-4.580637058E-2,2.583266248E-2,1.970739199E-2
9.000000000E-1,-5.672533100E-2,2.223739502E-2,1.331580540E-2
1.000000000E0,-7.736482937E-2,2.463423999E-2,1.904160172E-2
1.100000000E0,-4.647216085E-2,2.609897858E-2,1.797633729E-2
1.200000000E0,-4.793689944E-2,2.583266248E-2,1.810949534E-2
1.300000000E0,-6.005428235E-2,2.423476583E-2,1.637844064E-2
1.400000000E0,-5.099953468E-2,3.129214269E-2,1.837581145E-2
1.500000000E0,-4.141215479E-2,2.609897858E-2,1.504686010E-2
1.600000000E0,-2.423476583E-2,2.463423999E-2,1.571265037E-2
1.700000000E0,5.326322160E-4,2.343581750E-2,1.411475372E-2
1.800000000E0,2.423476583E-2,2.356897556E-2,1.944107588E-2
1.900000000E0,2.103897253E-2,1.904160172E-2,2.050634032E-2
2.000000000E0,5.326322160E-3,2.343581750E-2,1.930791783E-2
2.100000000E0,-2.183792086E-2,2.729740107E-2,1.837581145E-2
2.200000000E0,-5.446164409E-2,2.556634637E-2,2.063949837E-2
2.300000000E0,-5.432848603E-2,2.609897858E-2,1.837581145E-2
2.400000000E0,-4.833637360E-2,2.636529469E-2,1.651159870E-2
2.500000000E0,-4.434163198E-2,2.902845577E-2,1.677791480E-2
2.600000000E0,-6.311691760E-2,2.183792086E-2,1.810949534E-2
2.700000000E0,-8.801747369E-2,3.422161988E-2,2.050634032E-2
2.800000000E0,-1.139832942E-1,3.209109101E-2,1.518001816E-2
2.900000000E0,-3.462109404E-2,3.169161685E-2,2.516687221E-2
3.000000000E0,-2.516687221E-2,1.185106681E-2,3.289003934E-2
3.100000000E0,1.778991601E-1,-3.275688128E-2,1.198422486E-3
3.200000000E0,-1.371527956E-2,1.171790875E-2,1.491370205E-2
3.300000000E0,-2.392850230E-1,2.636529469E-2,2.290318529E-2
3.400000000E0,-3.910852046E-1,7.057376862E-3,1.131843459E-2
3.500000000E0,-4.314320950E-1,1.491370205E-2,8.522115456E-3
3.600000000E0,-4.008057425E-1,1.051948627E-2,1.637844064E-2
3.700000000E0,-1.954760233E-1,5.992112430E-2,1.731054702E-2
3.800000000E0,-6.671218505E-2,2.103897253E-2,1.837581145E-2
3.900000000E0,-1.225054097E-1,1.105211848E-2,1.225054097E-2
4.000000000E0,-2.593918892E-1,1.291633124E-2,1.531317621E-2
4.100000000E0,-3.735083415E-1,1.384843762E-2,1.651159870E-2
4.200000000E0,-3.705788643E-1,2.902845577E-2,1.158475070E-2
4.300000000E0,-3.629888552E-1,3.981425815E-2,8.388957402E-3
4.400000000E0,-3.370230347E-1,2.037318226E-2,9.187905726E-3
4.500000000E0,-3.486077854E-1,2.503371415E-2,7.856325186E-3
4.600000000E0,-3.448793599E-1,8.908273813E-2,1.051948627E-2
4.700000000E0,-3.524693689E-1,3.994741620E-3,1.677791480E-2
4.800000000E0,-3.736414995E-1,2.689792691E-2,1.651159870E-2
4.900000000E0,-3.814978247E-1,7.057376862E-3,8.655273510E-3
5.000000000E0,-4.193147120E-1,2.370213361E-2,7.723167132E-3
5.100000000E0,-4.418184232E-1,2.277002723E-2,1.118527654E-2
5.200000000E0,-4.645884504E-1,1.624528259E-2,1.131843459E-2
5.300000000E0,-5.082642921E-1,1.917475978E-2,5.193164106E-3
5.400000000E0,-5.334311643E-1,2.623213664E-2,1.251685708E-2
5.500000000E0,-5.826996443E-1,2.117213059E-2,9.986854050E-3
5.600000000E0,-6.123938903E-1,3.009372020E-2,6.791060754E-3
5.700000000E0,-6.589992092E-1,2.490055610E-2,1.398159567E-2
5.800000000E0,-6.876281909E-1,2.103897253E-2,1.291633124E-2
5.900000000E0,-7.141266436E-1,2.969424604E-2,1.198422486E-2
6.000000000E0,-7.704525004E-1,6.058691457E-2,6.524744646E-3
6.100000000E0,-7.697867102E-1,3.289003934E-2,-7.323692970E-3
6.200000000E0,-7.784419837E-1,2.210423696E-2,-5.326322160E-4
6.300000000E0,-7.840346220E-1,4.181162896E-2,1.198422486E-3
6.400000000E0,-7.785751417E-1,2.743055912E-2,1.531317621E-2
6.500000000E0,-7.667240749E-1,1.504686010E-2,2.396844972E-3
6.600000000E0,-7.291735037E-1,2.370213361E-2,5.326322160E-3
6.700000000E0,-7.130613792E-1,2.383529167E-2,6.657902700E-4
6.800000000E0,-6.735134371E-1,2.037318226E-2,1.731054702E-3
6.900000000E0,-6.322344404E-1,3.289003934E-2,3.462109404E-3
7.000000000E0,-5.941512369E-1,2.649845275E-2,9.720537942E-3
7.100000000E0,-5.595301429E-1,3.209109101E-2,6.524744646E-3
7.200000000E0,-5.231779942E-1,3.422161988E-2,4.926847998E-3
7.300000000E0,-4.858937390E-1,1.917475978E-2,1.118527654E-2
7.400000000E0,-4.460794809E-1,1.864212756E-3,1.318264735E-2
7.500000000E0,-4.270378792E-1,2.143844669E-2,9.054747672E-3
7.600000000E0,-4.042678519E-1,3.022687826E-2,1.358212151E-2
7.700000000E0,-3.866909888E-1,3.435477793E-2,9.853695996E-3
7.800000000E0,-3.743072898E-1,5.286374744E-2,7.057376862E-3
7.900000000E0,-3.523362109E-1,2.822950745E-2,5.060006052E-3
8.000000000E0,-3.423493568E-1,1.850896951E-2,5.992112430E-3
8.100000000E0,-3.440804115E-1,1.304948929E-2,1.557949232E-2
8.200000000E0,-3.466104146E-1,-3.595267458E-3,1.904160172E-2
8.300000000E0,-3.660514904E-1,2.703108496E-2,1.491370205E-2
8.400000000E0,-3.745736059E-1,1.597896648E-3,1.757686313E-2
8.500000000E0,-4.042678519E-1,2.796319134E-2,1.198422486E-2
8.600000000E0,-4.310326208E-1,2.703108496E-2,5.592638268E-3
8.700000000E0,-4.649879246E-1,2.383529167E-2,1.371527956E-2
8.800000000E0,-4.949484867E-1,3.182477491E-2,9.454221834E-3
