"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,-6.325007565E-2,2.583266248E-2,1.251685708E-2
1.000000000E-1,-3.089266853E-2,2.676476885E-2,1.624528259E-2
2.000000000E-1,4.926847998E-3,2.596582053E-2,1.864212756E-2
3.000000000E-1,3.768372928E-2,2.636529469E-2,2.263686918E-2
4.000000000E-1,1.904160172E-2,3.049319437E-2,1.717738897E-2
5.000000000E-1,2.090581448E-2,2.649845275E-2,1.997370810E-2
6.000000000E-1,-2.809634939E-2,2.476739804E-2,2.037318226E-2
7.000000000E-1,-8.681905121E-2,3.249056518E-2,1.571265037E-2
8.000000000E-1,-2.503371415E-2,2.916161383E-2,1.757686313E-2
9.000000000E-1,-3.994741620E-2,3.062635242E-2,1.731054702E-2
1.000000000E0,-9.347695391E-2,2.849582356E-2,1.451422789E-2
1.100000000E0,-6.191849511E-2,2.476739804E-2,1.531317621E-2
1.200000000E0,-2.383529167E-2,3.129214269E-2,1.784317924E-2
1.300000000E0,-2.609897858E-2,1.797633729E-2,2.090581448E-2
1.400000000E0,7.323692970E-3,2.503371415E-2,1.904160172E-2
1.500000000E0,3.422161988E-2,2.743055912E-2,1.850896951E-2
1.600000000E0,3.834951955E-2,2.476739804E-2,1.744370507E-2
1.700000000E0,1.025317016E-2,2.743055912E-2,2.237055307E-2
1.800000000E0,1.464738594E-3,3.022687826E-2,1.890844367E-2
1.900000000E0,-3.395530377E-2,2.476739804E-2,1.810949534E-2
2.000000000E0,-9.640643110E-2,2.343581750E-2,1.371527956E-2
2.100000000E0,-1.191764583E-1,2.769687523E-2,1.531317621E-2
2.200000000E0,7.536745856E-2,-1.664475675E-2,2.063949837E-2
2.300000000E0,1.356880570E-1,3.462109404E-3,8.828378980E-2
2.400000000E0,8.548747067E-2,3.661846485E-2,2.250371113E-2
2.500000000E0,1.362206892E-1,3.209109101E-2,2.516687221E-2
2.600000000E0,3.209109101E-2,2.343581750E-2,2.476739804E-2
2.700000000E0,-1.828260081E-1,2.037318226E-2,2.037318226E-2
2.800000000E0,-1.755023152E-1,3.448793599E-2,1.810949534E-2
2.900000000E0,-6.831008170E-2,3.768372928E-2,1.784317924E-2
3.000000000E0,4.514058031E-2,1.478054399E-2,2.410160777E-2
3.100000000E0,1.456749111E-1,4.846953166E-2,2.503371415E-2
3.200000000E0,5.992112430E-2,5.858954376E-2,2.330265945E-2
3.300000000E0,-1.552622910E-1,1.757686313E-2,1.651159870E-2
3.400000000E0,-3.446130438E-1,1.331580540E-4,7.323692970E-3
3.500000000E0,-2.543318831E-1,2.370213361E-2,1.225054097E-2
3.600000000E0,-7.510114246E-2,2.876213966E-2,1.624528259E-2
3.700000000E0,1.398159567E-2,1.304948929E-2,1.864212756E-2
3.800000000E0,-4.846953166E-2,6.471481424E-2,9.454221834E-3
3.900000000E0,-8.548747067E-2,-2.769687523E-2,-8.522115456E-3
4.000000000E0,1.727059960E-1,2.689792691E-2,8.788431564E-3
4.100000000E0,4.181162896E-2,7.230482332E-2,2.143844669E-2
4.200000000E0,1.051948627E-1,3.661846485E-2,2.197107891E-2
4.300000000E0,7.869640991E-2,6.391586592E-2,2.117213059E-2
4.400000000E0,6.684534311E-2,8.522115456E-3,2.370213361E-2
4.500000000E0,5.406216992E-2,3.861583566E-3,2.383529167E-2
4.600000000E0,2.383529167E-2,3.089266853E-2,1.051948627E-2
4.700000000E0,2.583266248E-2,3.036003631E-2,1.384843762E-2
4.800000000E0,5.139900884E-2,4.900216387E-2,2.530003026E-2
4.900000000E0,1.006674888E-1,-1.131843459E-2,2.423476583E-2
5.000000000E0,9.920275023E-2,8.069378072E-2,2.942792993E-2
5.100000000E0,1.161138231E-1,6.831008170E-2,2.450108194E-2
5.200000000E0,1.498028108E-1,3.435477793E-2,2.303634334E-2
5.300000000E0,1.814944276E-1,-1.757686313E-2,2.010686615E-2
5.400000000E0,1.669801997E-1,2.743055912E-2,1.877528561E-2
5.500000000E0,1.520664977E-1,2.010686615E-2,5.060006052E-3
5.600000000E0,1.621865098E-1,8.655273510E-3,1.784317924E-2
5.700000000E0,1.360875312E-1,3.315635545E-2,2.836266550E-2
5.800000000E0,9.733853747E-2,1.890844367E-2,1.917475978E-2
5.900000000E0,8.002799045E-2,3.688478096E-2,1.810949534E-2
6.000000000E0,5.792375349E-2,6.751113338E-2,2.636529469E-2
6.100000000E0,5.858954376E-2,2.117213059E-2,2.769687523E-2
6.200000000E0,3.355582961E-2,4.807005749E-2,2.010686615E-2
6.300000000E0,4.540689641E-2,1.771002118E-2,1.717738897E-2
6.400000000E0,6.870955586E-2,2.743055912E-2,1.784317924E-2
6.500000000E0,5.885585987E-2,8.002799045E-2,2.010686615E-2
6.600000000E0,1.278317318E-1,-2.210423696E-2,2.663161080E-2
6.700000000E0,1.314269993E-1,2.383529167E-2,1.358212151E-2
6.800000000E0,1.749696830E-1,-1.398159567E-2,2.343581750E-2
6.900000000E0,1.625859839E-1,3.528688431E-2,2.609897858E-2
7.000000000E0,2.017344518E-1,-1.677791480E-2,2.024002421E-2
7.100000000E0,1.603222970E-1,5.286374744E-2,2.157160475E-2
7.200000000E0,1.551291329E-1,9.587379888E-3,2.197107891E-2
7.300000000E0,1.255680449E-1,3.195793296E-2,2.743055912E-2
7.400000000E0,1.039964402E-1,4.367584171E-2,1.771002118E-2
7.500000000E0,8.109325489E-2,3.954794204E-2,2.316950140E-2
7.600000000E0,5.672533100E-2,4.527373836E-2,2.210423696E-2
7.700000000E0,4.727110917E-2,6.138586289E-2,1.544633426E-2
7.800000000E0,7.123955889E-2,-3.755057123E-2,2.277002723E-2
7.900000000E0,6.058691457E-2,5.992112430E-3,1.025317016E-2
8.000000000E0,7.496798440E-2,4.394215782E-3,1.464738594E-2
8.100000000E0,1.098553946E-1,6.391586592E-3,2.010686615E-2
8.200000000E0,1.150485587E-1,2.530003026E-2,2.410160777E-2
8.300000000E0,1.667138836E-1,-9.454221834E-3,2.050634032E-2
